dpz,timestamp,open,high,low,close,volume
dpz,2026-01-09,405.8300,409.0000,402.3800,405.0900,448836
dpz,2026-01-08,402.2000,408.9900,400.0000,406.5800,806664
dpz,2026-01-07,405.4600,407.6800,402.3001,405.5000,675836
dpz,2026-01-06,410.5000,414.4000,406.3000,406.5000,895884
dpz,2026-01-05,416.0000,420.0000,405.1600,411.4400,1038904
dpz,2026-01-02,416.7000,425.4100,416.0000,425.2800,398266
dpz,2025-12-31,421.9600,423.9200,416.1900,416.8200,389924
dpz,2025-12-30,421.2900,424.6500,419.5500,421.9200,243802
dpz,2025-12-29,424.7500,426.0000,420.8101,421.2500,326050
dpz,2025-12-26,424.7100,426.9700,423.4900,425.5600,214679
dpz,2025-12-24,425.6600,428.2600,424.0000,425.4300,194984
dpz,2025-12-23,426.7200,431.9400,424.2300,426.1800,491708
dpz,2025-12-22,430.8600,431.3300,426.2600,427.8900,644281
dpz,2025-12-19,432.4600,434.2950,428.1924,431.5100,958345
dpz,2025-12-18,438.1000,442.3500,430.7100,431.3700,710457
dpz,2025-12-17,433.2500,442.0000,432.0000,438.4200,580826
dpz,2025-12-16,437.5000,439.1200,432.4750,433.9000,696098
dpz,2025-12-15,429.6800,440.0750,427.9500,437.5000,815201
dpz,2025-12-12,435.0000,438.4000,430.2600,431.7300,553125
dpz,2025-12-11,419.2200,434.0000,418.4000,433.6700,552705
dpz,2025-12-10,417.3800,420.1300,415.1875,418.8800,435988
dpz,2025-12-09,418.0850,421.4850,413.1200,417.1900,490703
dpz,2025-12-08,416.9600,423.5900,414.8000,418.4700,647583
dpz,2025-12-05,426.2900,428.0000,415.1200,416.5500,751055
dpz,2025-12-04,430.8200,433.5700,426.8500,427.0700,570826
dpz,2025-12-03,425.0000,433.4950,425.0000,431.6900,483885
dpz,2025-12-02,423.1400,428.5700,420.0100,424.6400,644993
dpz,2025-12-01,419.8100,428.5400,418.8116,423.8500,634739
dpz,2025-11-28,416.1600,423.9900,415.0350,419.6300,243424
dpz,2025-11-26,417.3100,422.2300,415.3000,415.5900,496965
dpz,2025-11-25,403.6000,418.2000,403.6000,417.6200,647681
dpz,2025-11-24,409.0000,413.5700,401.2500,402.6700,667397
dpz,2025-11-21,398.6700,413.6500,398.1700,407.4000,476290
dpz,2025-11-20,399.9600,403.0000,397.0700,397.2100,486481
dpz,2025-11-19,403.4500,405.3500,399.5000,399.6700,326024
dpz,2025-11-18,403.4100,408.0000,400.0001,403.3400,312470
dpz,2025-11-17,410.6000,411.4140,403.1500,404.6300,500655
dpz,2025-11-14,409.4100,412.7700,405.2101,410.1600,445580
dpz,2025-11-13,404.6300,412.3000,403.9900,408.6800,486008
dpz,2025-11-12,409.0400,411.5100,402.2000,403.7600,544147
dpz,2025-11-11,409.0300,410.8600,406.4050,409.2300,279060
dpz,2025-11-10,409.0000,410.1799,398.8500,407.5900,463807
dpz,2025-11-07,402.4900,411.0800,401.0000,410.1800,486479
dpz,2025-11-06,400.8000,405.9900,397.7200,401.4600,516104
dpz,2025-11-05,406.2800,408.2100,399.2500,400.4100,686172
dpz,2025-11-04,407.8900,410.0500,403.3400,406.8800,649107
dpz,2025-11-03,398.6600,406.9000,392.8900,403.6300,715192
dpz,2025-10-31,403.0000,403.0000,394.3000,398.4600,716558
dpz,2025-10-30,402.8300,407.0800,401.8400,403.9600,685368
dpz,2025-10-29,408.2000,410.0256,403.2700,405.8700,550240
dpz,2025-10-28,412.7100,414.9900,409.9500,410.9700,430876
dpz,2025-10-27,415.0500,415.2500,407.7844,412.7000,554938
dpz,2025-10-24,422.2500,423.6900,414.2400,414.8600,482575
dpz,2025-10-23,423.1100,424.8100,420.5250,421.7600,689809
dpz,2025-10-22,420.5200,425.2397,416.0000,424.8200,635203
dpz,2025-10-21,422.9400,424.1000,418.5000,419.8800,434440
dpz,2025-10-20,417.1300,425.0500,417.1300,422.9400,402942
dpz,2025-10-17,417.7100,420.7050,415.5200,416.2600,514994
dpz,2025-10-16,417.2200,426.0000,414.3200,416.9500,661235
dpz,2025-10-15,421.4800,425.6200,413.0050,417.4600,873415
dpz,2025-10-14,407.2450,428.2600,398.8100,424.2300,1630730
dpz,2025-10-13,404.5600,410.9000,403.5350,408.2600,991883
dpz,2025-10-10,407.0000,412.0000,404.3700,406.3700,882210
dpz,2025-10-09,415.5600,415.7800,405.1100,405.3300,883302
dpz,2025-10-08,414.1400,417.1500,411.2930,413.5000,557394
dpz,2025-10-07,423.3700,424.9750,409.8300,411.4300,789676
dpz,2025-10-06,426.0000,430.0000,421.3800,422.9100,442634
dpz,2025-10-03,430.0000,431.2400,426.1200,426.7100,541262
dpz,2025-10-02,426.5200,432.9800,423.3780,431.2400,492262
dpz,2025-10-01,431.9500,435.9400,427.1600,428.1600,606760
dpz,2025-09-30,432.3000,432.9700,427.6650,431.7100,564859
dpz,2025-09-29,437.1900,437.6278,432.0000,434.4100,704851
dpz,2025-09-26,431.0000,441.6350,429.3950,435.7500,932213
dpz,2025-09-25,427.3300,427.6400,420.2300,422.7500,565261
dpz,2025-09-24,424.0000,429.0000,423.3550,425.3000,554066
dpz,2025-09-23,425.0000,426.2850,420.5200,423.8900,689204
dpz,2025-09-22,428.7100,429.5000,422.8600,424.9600,1033359
dpz,2025-09-19,432.7000,432.7000,427.4300,428.7100,1485803
dpz,2025-09-18,436.5900,436.5900,427.3200,430.0800,813736
dpz,2025-09-17,443.9400,446.4900,436.9800,438.2100,611113
dpz,2025-09-16,448.0800,450.0300,440.5250,442.4200,634910
dpz,2025-09-15,451.6600,455.7200,448.1200,449.9500,512821
dpz,2025-09-12,455.8400,458.2700,451.1300,452.0500,437271
dpz,2025-09-11,449.5000,458.2900,446.8800,456.6200,533776
dpz,2025-09-10,456.1900,458.9000,445.4300,450.5600,682870
dpz,2025-09-09,463.2000,464.2262,458.0000,458.9700,418975
dpz,2025-09-08,464.1600,467.2200,456.5100,466.1050,527696
dpz,2025-09-05,463.0600,466.6000,458.7592,463.8300,329253
dpz,2025-09-04,467.1100,467.8250,455.5350,462.6000,463479
dpz,2025-09-03,464.6200,468.8700,463.9825,466.6000,382148
dpz,2025-09-02,459.2100,469.0000,459.2100,467.3000,597241
dpz,2025-08-29,451.3100,460.2700,451.3100,458.3000,430521
dpz,2025-08-28,454.0800,455.2800,447.0100,448.9600,477351
dpz,2025-08-27,452.8400,465.5950,451.2000,452.5500,855649
dpz,2025-08-26,460.2400,461.1500,444.4700,451.2200,754029
dpz,2025-08-25,451.2200,463.0750,450.6000,460.6600,817745
dpz,2025-08-22,448.5800,451.5200,445.5000,450.9900,768804
dpz,2025-08-21,440.4700,448.6400,437.4500,446.8600,713824
dpz,2025-08-20,451.0000,454.6550,441.8000,442.8600,843592
dpz,2025-08-19,444.8500,456.1700,444.4500,450.5600,687212
