goog,timestamp,open,high,low,close,volume
goog,2026-01-09,327.4900,331.4800,326.2500,329.1400,17917732
goog,2026-01-08,329.2650,330.5400,321.9900,326.0100,21789614
goog,2026-01-07,314.5700,326.4650,314.5000,322.4300,24681825
goog,2026-01-06,317.3100,321.5600,312.3400,314.5500,18989910
goog,2026-01-05,317.6950,319.2500,315.2490,317.3200,19934019
goog,2026-01-02,317.5900,322.9138,310.6500,315.3200,22043703
goog,2025-12-31,313.3700,315.3900,312.2000,313.8000,10821502
goog,2025-12-30,313.4100,317.7000,313.2500,314.5500,11052495
goog,2025-12-29,312.8200,314.9700,311.9000,314.3900,12317693
goog,2025-12-26,315.9200,316.5599,313.7200,314.9600,6730944
goog,2025-12-24,316.1500,316.2900,313.3200,315.6700,6138155
goog,2025-12-23,311.1350,316.3000,310.7500,315.6800,13961424
goog,2025-12-22,311.2250,311.7000,306.5900,311.3300,14091373
goog,2025-12-19,303.2700,308.9900,302.3400,308.6100,45234430
goog,2025-12-18,303.0600,305.2600,300.6300,303.7500,21040496
goog,2025-12-17,309.0100,309.1950,297.4500,298.0600,29120355
goog,2025-12-16,306.0000,311.8450,303.8300,307.7300,21285166
goog,2025-12-15,312.6250,312.7000,305.7400,309.3200,22028947
goog,2025-12-12,314.7950,316.1400,306.9600,310.5200,21264787
goog,2025-12-11,321.1000,321.9900,309.8800,313.7000,25912059
goog,2025-12-10,316.6200,321.8700,315.4000,321.0000,22764499
goog,2025-12-09,313.1000,318.7089,312.6200,317.7500,14098016
goog,2025-12-08,321.0300,321.2300,311.9100,314.4500,21707040
goog,2025-12-05,320.0000,323.8300,319.9800,322.0900,15719851
goog,2025-12-04,323.0450,323.0990,315.5900,318.3900,20831597
goog,2025-12-03,316.0300,322.0400,314.2800,320.6200,32285099
goog,2025-12-02,316.9000,318.6000,314.2200,316.0200,24668179
goog,2025-12-01,317.4750,319.6300,313.9800,315.1200,28520587
goog,2025-11-28,323.4300,326.8800,316.9400,320.1200,19695811
goog,2025-11-26,320.7800,324.9900,317.2000,320.2800,29839577
goog,2025-11-25,326.8000,328.6700,317.8164,323.6400,50899309
goog,2025-11-24,311.0100,319.8000,309.4001,318.4700,55311838
goog,2025-11-21,296.8700,303.9600,294.3600,299.6500,43670586
goog,2025-11-20,304.7400,306.8900,289.1700,289.9800,34801371
goog,2025-11-19,287.6850,304.2500,287.6700,292.9900,43123599
goog,2025-11-18,288.4850,289.4350,279.0100,284.9600,29702228
goog,2025-11-17,286.4000,294.5200,284.2300,285.6000,34286093
goog,2025-11-14,271.8950,279.1500,271.4100,276.9800,18330487
