msft,timestamp,open,high,low,close,volume
msft,2026-01-09,474.0600,479.8200,472.2001,479.2800,18491036
msft,2026-01-08,481.2400,482.6600,475.8600,478.1100,18162616
msft,2026-01-07,479.7550,489.7000,477.9500,483.4700,25564196
msft,2026-01-06,473.8000,478.7367,469.7500,478.5100,23037665
msft,2026-01-05,474.0550,476.0700,469.5000,472.8500,25250260
msft,2026-01-02,484.3850,484.6600,470.1600,472.9400,25571567
msft,2025-12-31,487.8400,488.1400,483.3000,483.6200,15601554
msft,2025-12-30,485.9300,489.6800,485.5000,487.4800,13944512
msft,2025-12-29,484.8550,488.3500,484.1800,487.1000,10893408
msft,2025-12-26,486.7050,488.1200,485.9600,487.7100,8842175
msft,2025-12-24,485.6800,489.1625,484.8300,488.0200,5855880
msft,2025-12-23,484.9800,487.8300,484.7400,486.8500,14683582
msft,2025-12-22,486.1200,488.7300,482.6900,484.9200,16963019
msft,2025-12-19,487.3600,487.8500,482.4900,485.9200,70836105
msft,2025-12-18,478.1900,489.6000,477.8900,483.9800,28573545
msft,2025-12-17,476.9050,480.0000,475.0000,476.1200,24527176
msft,2025-12-16,471.9050,477.8900,470.8800,476.3900,20705560
msft,2025-12-15,480.1000,480.7205,472.5200,474.8200,23727694
msft,2025-12-12,479.8200,482.4500,476.3400,478.5300,21248102
msft,2025-12-11,476.6300,486.0300,475.8600,483.4700,24669180
msft,2025-12-10,484.0300,484.2500,475.0800,478.5600,35756229
msft,2025-12-09,489.1000,492.1200,488.5001,492.0200,14092776
msft,2025-12-08,484.8850,492.3000,484.3800,491.0200,20668450
msft,2025-12-05,482.5150,483.4000,478.8801,483.1600,22608710
msft,2025-12-04,479.7600,481.3220,476.4900,480.8400,22318155
msft,2025-12-03,476.3200,484.2400,475.2000,477.7300,34615102
msft,2025-12-02,486.7150,493.4999,486.3200,490.0000,19562722
msft,2025-12-01,488.4350,489.8599,484.6475,486.7400,23963993
msft,2025-11-28,487.5950,492.6300,486.6500,492.0100,14386730
msft,2025-11-26,486.3100,488.3100,481.2000,485.5000,25709079
msft,2025-11-25,474.0700,479.1500,464.8900,476.9900,28019793
msft,2025-11-24,475.0000,476.9000,468.0200,474.0000,34421046
msft,2025-11-21,478.5000,478.9200,468.2700,472.1200,31769248
msft,2025-11-20,492.7100,493.5700,475.5000,478.4300,26802542
msft,2025-11-19,490.1000,495.1872,482.8300,487.1200,23245314
msft,2025-11-18,495.3650,502.9800,486.7800,493.7900,33815114
msft,2025-11-17,508.4500,512.1200,504.9100,507.4900,19092752
msft,2025-11-14,498.2300,511.6000,497.4400,510.1800,28505746
msft,2025-11-13,510.3100,513.5000,501.2900,503.2900,25273114
msft,2025-11-12,509.3550,511.6700,499.1201,511.1400,26574851
msft,2025-11-11,504.8000,509.6000,502.3488,508.6800,17980020
msft,2025-11-10,500.0350,506.8500,498.8000,506.0000,26101480
msft,2025-11-07,496.9450,499.3770,493.2500,496.8200,24019764
msft,2025-11-06,505.6600,505.7000,495.8100,497.1000,27406496
msft,2025-11-05,513.3000,514.8300,506.5750,507.1600,22883851
msft,2025-11-04,511.7600,515.5500,507.8400,514.3300,20958663
msft,2025-11-03,519.8050,524.9600,514.5900,517.0300,22374742
msft,2025-10-31,528.8750,529.3200,515.1000,517.8100,34006424
msft,2025-10-30,530.4800,534.9700,522.1200,525.7600,41023088
msft,2025-10-29,544.9400,546.2700,536.7287,541.5500,36023004
msft,2025-10-28,550.0000,553.7200,540.7700,542.0700,29986683
msft,2025-10-27,531.7800,534.5800,529.0100,531.5200,18734716
msft,2025-10-24,522.7900,525.3450,520.7100,523.6100,15532360
msft,2025-10-23,522.4600,523.9500,518.6100,520.5600,14023532
msft,2025-10-22,521.1500,525.2300,517.7100,520.5400,18962694
msft,2025-10-21,517.5000,518.6900,513.0400,517.6600,15586204
