nke,timestamp,open,high,low,close,volume
nke,2026-01-09,65.1100,66.5400,64.4000,65.9200,18470385
nke,2026-01-08,62.1750,65.7350,61.7000,65.2600,21573898
nke,2026-01-07,65.5200,65.6124,63.1900,63.2200,18284106
nke,2026-01-06,64.0600,65.4250,63.4100,65.3500,19973192
nke,2026-01-05,63.7350,65.3700,63.3900,64.5300,23482539
nke,2026-01-02,64.0000,64.1300,62.5500,63.2800,22284069
nke,2025-12-31,62.2500,64.2000,61.9187,63.7100,35457432
nke,2025-12-30,61.3000,61.3000,60.6400,61.1900,13507849
nke,2025-12-29,60.5400,61.7500,60.5100,61.2100,18062104
nke,2025-12-26,60.0000,60.9300,59.8600,60.9300,22303556
nke,2025-12-24,58.8801,60.5800,58.8801,60.0000,36073251
nke,2025-12-23,57.1800,57.5954,56.9900,57.3400,23276740
nke,2025-12-22,58.9900,59.0800,57.1400,57.2200,38695933
nke,2025-12-19,59.2000,60.3800,58.2200,58.7100,108652694
nke,2025-12-18,66.0100,67.0000,65.4000,65.6300,35650016
nke,2025-12-17,66.5600,66.8300,65.6205,65.6900,13205492
nke,2025-12-16,67.2900,68.2000,66.7400,67.1200,16376671
nke,2025-12-15,67.4050,68.3500,66.6900,67.7800,15287494
nke,2025-12-12,68.1700,69.1364,67.1200,67.4700,14829228
nke,2025-12-11,65.8300,67.8150,65.5600,67.7400,16153544
nke,2025-12-10,63.9800,66.1500,63.7640,65.7900,20302074
nke,2025-12-09,63.5100,63.9500,62.9720,63.3300,9167476
nke,2025-12-08,65.6000,65.8000,63.2650,63.5400,12670035
nke,2025-12-05,65.7000,66.0800,64.8800,65.8600,10917935
nke,2025-12-04,65.6000,66.1000,65.0100,65.6900,10619498
nke,2025-12-03,65.0800,66.6550,64.9800,65.6500,12028291
nke,2025-12-02,65.4500,65.4700,64.5800,64.9300,9051181
nke,2025-12-01,63.7700,65.9900,63.5800,65.3900,12047278
nke,2025-11-28,64.4700,64.7800,63.9700,64.6300,4941353
nke,2025-11-26,63.5000,64.8650,62.9700,64.3300,13790955
nke,2025-11-25,62.3400,64.1200,61.8700,63.6800,11527157
nke,2025-11-24,62.5100,63.0700,61.9300,61.9300,16681656
nke,2025-11-21,62.0100,63.4950,61.5400,62.8000,12476917
nke,2025-11-20,62.9500,63.8300,61.4100,61.4300,13886596
nke,2025-11-19,62.4250,63.2150,62.0100,62.6400,11732125
nke,2025-11-18,62.4000,62.7600,61.6800,62.4900,14614639
nke,2025-11-17,63.0700,63.5400,62.2600,62.9000,17064691
nke,2025-11-14,64.9350,65.0600,63.7500,64.1700,17760099
nke,2025-11-13,65.7100,66.2550,64.8800,66.0300,21923604
nke,2025-11-12,64.1000,65.1900,63.7400,64.2000,14812195
nke,2025-11-11,61.7300,63.6000,61.2400,63.1500,17646388
nke,2025-11-10,61.7500,62.0900,60.4900,60.8000,13063059
nke,2025-11-07,61.7400,62.1800,60.2900,61.0900,15504763
nke,2025-11-06,61.8800,62.4800,61.6650,61.8900,15164633
nke,2025-11-05,61.2800,62.8500,60.8550,62.1100,20874903
nke,2025-11-04,62.4200,62.5900,61.1200,61.2300,13725428
nke,2025-11-03,64.7200,64.8500,62.3400,62.6500,22633317
nke,2025-10-31,65.0000,65.2500,64.2500,64.5900,17822510
nke,2025-10-30,65.1800,66.0000,64.5740,64.9000,13895231
nke,2025-10-29,67.0100,67.1900,64.9500,65.3500,15143126
nke,2025-10-28,68.1100,68.6100,67.0500,67.4300,11262395
nke,2025-10-27,70.0350,70.4400,68.2600,68.5900,9838115
nke,2025-10-24,69.7100,70.0800,68.9100,69.1100,7102911
